Campanha,Finalidade,Apoio_tipo,Midia,Categoria,Categoria,Local,Estado,Regiao,Arrecadado_faixa,Arrecadado_mes,Apoiadores,Apoiadores_Media,Apoiadores_faixa,Meta,Meta_faixa,Arrecadacao,Link,Raspagem
Amigos da Rádio Nova Pátria Amada,privado,canais de comunicação,podcast,"c(""Jornalismo"", ""Podcast"")","Jornalismo, Podcast","São Paulo, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 5.00,entre R$1 e R$499,recorrente,https://apoia.se/radionovapatriaamada?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Apoie a Direita Icó,público,movimentos suprapartidários,youtube,"c(""Educação"", ""Eventos"", ""Jornalismo"") ","Educação, Eventos, Jornalismo ","Icó, CE",CE,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 400.00,entre R$1 e R$499,recorrente,https://apoia.se/direitaico?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
apoie a Direita Paraná,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Loanda, PR",PR,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 600.00,entre R$500 e R$999,recorrente,https://apoia.se/direitaparana?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Apoie a Direita Taubaté,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Taubaté, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 300.00,entre R$1 e R$499,recorrente,https://apoia.se/apoieadireitataubate?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Apoie nosso trabalho!,privado,canais de comunicação,múltiplos,"c(""Jornalismo"", ""Podcast"")","Jornalismo, Podcast","São Paulo, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 100.00,entre R$1 e R$499,recorrente,https://apoia.se/saidapeladireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Apoie o Direita Gaúcha,público,movimentos suprapartidários,NA,"c(""Outras"", ""Jornalismo"")","Outras, Jornalismo","Porto Alegra, RS",RS,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/direitagauchanasuacidade?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Apoie o Mov. Meu Partido é o Brasil,público,canais de comunicação,outros,"""Outras""",Outras,"São Carlos, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/mov_meupartidoeobrasil?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Apoie o nosso site,privado,materiais de campanha,youtube,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo","Camaçari, BA",BA,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/ajudeocamacariagora,Setembro
APOIE O SEU AMIGO JOHNSON NUNES,privado,outros,NA,"""Outras""",Outras,"Salvador, BA",BA,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/1502953229797981?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Apoie o Voltemos à Direita,privado,canais de comunicação,site/blog,"""Jornalismo""",Jornalismo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/voltemosadireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Apoie um Miastenico,privado,outros,NA,"c(""Escrita"", ""Outras"")","Escrita, Outras","Bento Gonçalves, RS",RS,Sul,entre R$0 e R$499,325.00,16,20.31,entre 10 e 19,R$ 600.00,entre R$500 e R$999,recorrente,https://apoia.se/miastenicodireitista?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Bolsolindas,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Goiânia, GO",GO,Centro-Oeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/explore?q=Bolsolindas,"c(Março,Setembro)"
Bolsonaro 17 presidente,privado,materiais de campanha,NA,"""Outras""",Outras,"Fortaleza, CE",CE,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/jairmessiasbolsonaro?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Botando Pilha,privado,canais de comunicação,outros,"""Cinema e vídeo""",Cinema e vídeo,"SP, Osasco",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 13,000.00",mais de R$10 mil,recorrente,https://apoia.se/botandopilha,Março
Brasil 2021: Lula x Bolsonaro,privado,canais de comunicação,youtube,"""Cinema e vídeo""",Cinema e vídeo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 150.00,entre R$1 e R$499,recorrente,https://apoia.se/contribuir_brasil2021?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Brasil e Politica - Somos a Direita,privado,canais de comunicação,youtube,"""Jornalismo""",Jornalismo,"Londrina, PR",PR,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/brasilepolitica?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Brasil Sem Corrupção,público,materiais de campanha,NA,"""Jornalismo""",Jornalismo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 50,000.00",mais de R$10 mil,recorrente,https://apoia.se/bsc?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Caminho da direita,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Pedreiras, MA",MA,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/565be43084afce090095e7bb?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Canal BispoTV News,privado,canais de comunicação,youtube,"c(""Outras"", ""Cinema e vídeo"")","Outras, Cinema e vídeo","Niterói, RJ",RJ,Sudeste,entre R$0 e R$499,50.00,4,12.50,entre 0 e 4,"R$ 4,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/bispotvnews?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Canal Cancelados,privado,canais de comunicação,outros,"c(""Jornalismo"", ""Educação"")","Jornalismo, Educação","São Paulo, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 5.00,entre R$1 e R$499,recorrente,https://apoia.se/canalcancelados?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Canal os 7 Minutos,privado,canais de comunicação,múltiplos,"c(""Outras"", ""Cinema e vídeo"")","Outras, Cinema e vídeo","São Paulo, SP",SP,Sudeste,entre R$0 e R$499,15.00,1,15.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/os7minutos?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Canal Robson de Paula,privado,canais de comunicação,outros,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo","Santos Dumont, MG",MG,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/robsondepaula?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Canal: Ronald Monção,privado,canais de comunicação,youtube,"""Cinema e vídeo""",Cinema e vídeo,"SP, São Bernardo do Campo",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/ronaldmoncao,Março
CanalTamosjuntos,privado,canais de comunicação,youtube,"""Cinema e vídeo""",Cinema e vídeo,"Fortaleza, CE",CE,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/tamosjuntos?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Caneca Mágica LuLa vs Bolsonaro 17,privado,materiais de campanha,NA,"c(""Animação"", ""Cinema e vídeo"")","Animação, Cinema e vídeo","Feira de Santana, BA",BA,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 5,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/braperprintsestampados?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Caneta Conservadora,privado,canais de comunicação,site/blog,"c(""Outras"", ""Jornalismo"")","Outras, Jornalismo",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 3,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/canetaconserva?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
CAVALARIA DA DIREITA,público,canais de comunicação,youtube,"c(""Educação"", ""Eventos"")","Educação, Eventos","PE, Recife",PE,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 800.00,entre R$500 e R$999,recorrente,https://apoia.se/cavalariadadireita,Março
cCê Ta LigadoO[:],privado,canais de comunicação,youtube,"c(""Cinema e vídeo"", ""Comédia"")","Cinema e vídeo, Comédia","Lombardia, Brescia",NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 2,500.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/cetaligado?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Conscientiza cidadão - Pró Brasil,privado,canais de comunicação,site/blog,"c(""Outras"", ""Jornalismo"")","Outras, Jornalismo",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 5,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/governohonesto?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Cris Viviani Projeto 00E,público,movimentos suprapartidários,NA,"""Outras""",Outras,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 10,000.00",mais de R$10 mil,recorrente,https://apoia.se/crisviviani?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Crítica Nacional,privado,canais de comunicação,site/blog,"""Jornalismo""",Jornalismo,São Paulo,SP,Sudeste,entre R$0 e R$499,240.00,12,20.00,entre 10 e 19,"R$ 6,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/criticanacional?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Cursos União Direita Brasil,privado,movimentos suprapartidários,site/blog,"c(""Educação"", ""Cinema e vídeo"")","Educação, Cinema e vídeo","Mesquita, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 300.00,entre R$1 e R$499,recorrente,https://apoia.se/uniaodireitabrasil?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Denne Sousa Oficial,privado,canais de comunicação,youtube,"""Jornalismo""",Jornalismo,"SP, São José dos Campos",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/5ca417ae62ed6f2d19525574,Março
Direita Carapebus,público,movimentos suprapartidários,NA,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo","Carapebus, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 5,000.00",entre R$5.000 e R$9.999,recorrente,https://apoia.se/direitacarapebus?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Direita Marabá,público,movimentos suprapartidários,outros,"c(""Outras"", ""Cinema e vídeo"")","Outras, Cinema e vídeo","Marabá, PA",PA,Norte,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/direitamaraba?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Direita Mimoso do Sul,público,canais de comunicação,outros,"""Outras""",Outras,"Mimoso do Sul, ES",MG,Sudeste,entre R$0 e R$499,5.00,1,5.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/direitamimosodosul?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Direita Minas,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Belo horizonte, MG",MG,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/59beead4db84a5030062f1e3?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Direita Minas - Elóis Mendes,público,movimentos suprapartidários,NA,"""Eventos""",Eventos,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/direitaminaseloimendes?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Direita Minas Juiz de Fora,público,movimentos suprapartidários,NA,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras","Juiz de Fora, MG",MG,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/dmjuizdefora?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Direita Nacional Brasileira - DNB,público,movimentos suprapartidários,NA,"""Outras""",Outras,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 10,000.00",mais de R$10 mil,recorrente,https://apoia.se/dnb?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
DIREITA NEWS,privado,movimentos suprapartidários,site/blog,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 250.00,entre R$1 e R$499,recorrente,https://apoia.se/portaldireitanews?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Direita News ,privado,movimentos suprapartidários,site/blog,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 250.00,entre R$1 e R$499,recorrente,https://apoia.se/portaldireitanews?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
DIREITA NO ASSUNTO,privado,canais de comunicação,múltiplos,"c(""Jornalismo"", ""Educação"")","Jornalismo, Educação","Manaus, AM",AM,Norte,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/direitanoassunto?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Direita Oficial,privado,canais de comunicação,múltiplos,"c(""Eventos"", ""Outras"", ""Cinema e vídeo"", ""Escrita"", ""Jornalismo"")","Eventos, Outras, Cinema e vídeo, Escrita, Jornalismo","Belo Horizonte, MG",MG,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 2,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/direitaoficial?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Direita São Carlos,público,canais de comunicação,múltiplos,"""Outras""",Outras,"São Carlos, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/5bb105ba1e6174091c1dd1be,"c(Março,Setembro)"
DIREITA UNIDA,público,movimentos suprapartidários,outros,"c(""Outras"", ""Eventos"")","Outras, Eventos",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/direitaunida?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Direita? Vou Ver!,privado,canais de comunicação,youtube,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo",NA,NA,NA,entre R$0 e R$499,50.00,5,10.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/edraposo?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
DireitaLivre.com,privado,canais de comunicação,site/blog,"""Outras""",Outras,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/direitalivre?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
DireitaNews,privado,canais de comunicação,fanpages,"""Outras""",Outras,"Nova Iguaçu, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/direitanews?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Dito e Fato,privado,canais de comunicação,outros,"c(""Educação"", ""Outras"")","Educação, Outras",Rio de Janeiro,RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 3,500.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/ditoefato?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Douglas Aguiar Oficial,privado,canais de comunicação,youtube,"c(""Animação"", ""Cinema e vídeo"")","Animação, Cinema e vídeo","Goiânia, GO.",GO,Centro-Oeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente, https://apoia.se/douglasaguiar_oficial?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
EnDireita Brasil,privado,canais de comunicação,youtube,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras","Extremoz, RN",RN,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/endireitabrasil?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
ENDIREITA BRASIL,público,canais de comunicação,outros,"c(""Jornalismo"", ""Outras"")","Jornalismo, Outras",n/a,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/patriotasdobrasil?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Endireita Iguatu,público,canais de comunicação,outros,"""Outras""",Outras,"CE, Iguatu",CE,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 1.00,entre R$1 e R$499,recorrente,https://apoia.se/5bf6dccf8cb67fd108e14b83,"c(Março,Setembro)"
Endireita Natal,público,movimentos suprapartidários,NA,"""Outras""",Outras,"Natal, RN",RN,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/endireitanatal?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
EnDIREITANDO Presidente Prudente,público,movimentos suprapartidários,NA,"c(""Outras"", ""Jornalismo"")","Outras, Jornalismo","Presidente Prudente, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,pontual,https://apoia.se/endireitaprudente?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Eu apoio a Revolução Intelectual,privado,canais de comunicação,outros,"""Educação""",Educação,"Uruguaiana, RS",RS,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/revintelectual?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Eu apoio Central da Direita,privado,canais de comunicação,múltiplos,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo",NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 10.00,entre R$1 e R$499,recorrente,https://apoia.se/centraldadireita?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Eu apoio o Nação Patriota.,privado,canais de comunicação,múltiplos,"c(""Outras"", ""Jornalismo"")","Outras, Jornalismo","Imperatriz, MA",MA,Nordeste,entre R$0 e R$499,20.00,2,10.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/nacaopatriota?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Eu apoio o Notícias Hoje,privado,canais de comunicação,outros,"""Outras""",Outras,"São Mamede, PB",PB,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/5c95b5b03f9746f018a5eef3?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
